TYPE,Spicer,,,,,,,,,,,,
Hormones,SP01,Increased response time,2.17,23,,,,,,,,,
Panacea,SP02,Heals wounds,1.79,28,,,,,,,,,
Oxytocin,SP03,Mental soothing,2.08,24,,,,,,,,,
Lubricants,SP04,For industrial use,1.92,26,,,,,,,,,
Neverclear,SP05,Medicinal alcohol,4.21,19,,,,,,,,,
Aphroditus,SP06,Aphrodisiac and sensory enhancer,4.00,20,,,,,,,,,
Nectar,SP07,Psychotropic drug,4.44,18,,,,,,,,,
Orpheus Slumber,SP08,Sleep inducer,3.64,22,,,,,,,,,
Attenuated Viruses,SP09,Natural cleaning fluid,8.57,14,,,,,,,,,
Immunosuppressants,SP10,Industrial precursor to GMOs,8.57,14,,,,,,,,,
Morteks,SP11,Prevents fear responses,7.50,16,,,,,,,,,
Antiballistic Serum,SP12,Natural gel with antiballistic properties,7.50,16,,,,,,,,,
Confusia,SP13,Clears confusion and mental health issues,20.00,8,,,,,,,,,
Proteins,SP14,Natural lighting,32.00,5,,,,,,,,,
Bacterial Payloads,SP15,Can contain smoke and pollutants,17.78,9,,,,,,,,,
Ambrosia,SP16,Amber based nootropic drug,22.86,7,,,,,,,,,
Chronomorph,SP17,Slows users perception of time,40.00,4,,,,,,,,,
Epiphos,SP18,Allows greater concentration and insight,40.00,4,,,,,,,,,
Nidrfoenix,SP19,Can resuscitate recently deceased,53.33,3,,,,,,,,,
Athelas,SP20,Very rare tobacco alternative,40.00,4,,,,,,,,,
TYPE,Weaver,,,,,,,,,,,,
Wire,WE01,Food transportation. Precursor.,1.85,27,,,,,,,,,
Cloth,WE02,Weaving. Clothing.,2.00,25,,,,,,,,,
Elastics,WE03,Thread. Insulation. Comfort. Bandages.,1.92,26,,,,,,,,,
Leather,WE04,Temperature control. Civilian clothing.,1.85,27,,,,,,,,,
eFabric,WE05,Expensive clothing. Military applications.,4.21,19,,,,,,,,,
Aramid,WE06,Sports wear. Underarmour. Protection.,4.00,20,,,,,,,,,
Linen,WE07,Rugs. Decoration. Clothing.,3.81,21,,,,,,,,,
Cotton,WE08,Industrial and commercial applications.,3.81,21,,,,,,,,,
Silk,WE09,Luxury clothing.,8.57,14,,,,,,,,,
Cashmere,WE10,Luxury clothing.,8.00,15,,,,,,,,,
Soft Leather,WE11,Luxury clothing.,8.57,14,,,,,,,,,
Adamantis,WE12,Armour. Civilian defense clothing.,9.23,13,,,,,,,,,
Nydian Fur,WE13,Luxury clothing.,16.00,10,,,,,,,,,
Mokros Skin,WE14,Armour. Decoration.,16.00,10,,,,,,,,,
Plaited Amber,WE15,Amber-based. Wear resistant. Luxury clothing.,26.67,6,,,,,,,,,
Nagl Hide,WE16,Trophies. Luxury clothing.,17.78,9,,,,,,,,,
Boreal Gossamer,WE17,Luxury clothing.,53.33,3,,,,,,,,,
Woven Metal,WE18,Military and industrial applications. Luxury clothing.,53.33,3,,,,,,,,,
Liquid Cloth,WE19,Luxury clothing.,40.00,4,,,,,,,,,
Hera's Tears,WE20,Luxury clothing. Decoration.,53.33,3,,,,,,,,,
TYPE,Temperer,,,,,,,,,,,,
Clay,TE01,Industrial applications. Base for other materials.,2.08,24,,,,,,,,,
Carbon Fibre,TE02,Strong structural material.,2.00,25,,,,,,,,,
Silica Glass,TE03,Ordinary glass.,2.27,22,,,,,,,,,
Alumina,TE04,Purification. Catalysis. Base for other materials.,1.92,26,,,,,,,,,
Hologlass,TE05,3D displays and laser refractors.,4.44,18,,,,,,,,,
Nanotubes,TE06,High tensile strength applications.,4.71,17,,,,,,,,,
Dilatants,TE07,Very high temperature heat absorbers.,4.00,20,,,,,,,,,
Boron-Carbide,TE08,Structural reinforcement.,4.00,20,,,,,,,,,
Vac-Glass,TE09,Ship windows.,9.23,13,,,,,,,,,
Selfsetting Ceramics,TE10,Data storage.,8.57,14,,,,,,,,,
Graphene,TE11,Medical. Military. Civilian. Electronics.,13.33,9,,,,,,,,,
Ceramic Cloth,TE12,Low weight/cost structural material.,9.23,13,,,,,,,,,
Pellucidic Glass,TE13,Wearproof heat absorbers.,16.00,10,,,,,,,,,
Ceramic Solvent,TE14,Self illuminating glass. Displays.,20.00,8,,,,,,,,,
Trinitite,TE15,Safe radioactive material storage.,20.00,8,,,,,,,,,
ElectroActive Glass,TE16,Extreme heat resistance and transparency.,22.86,7,,,,,,,,,
Permacarbon,TE17,Laser light promotion/protection.,80.00,2,,,,,,,,,
Obsidian,TE18,Optics. Jewellery.,80.00,2,,,,,,,,,
Semisolids,TE19,Mouldable/bendable yet strong products.,80.00,2,,,,,,,,,
Photophilic Glass,TE20,Photon capture and storage.,160.00,1,,,,,,,,,
TYPE,Purifier,,,,,,,,,,,,
Simple Metals,PU01,0,2.27,22,,,,,,,,,
Carbon,PU02,Chemical rocket fuel. Oxygen storage.,2.38,21,,,,,,,,,
Alkalines,PU03,0,2.00,25,,,,,,,,,
Metalloids,PU04,0,2.38,21,,,,,,,,,
Ductile Metals,PU05,0,4.44,18,,,,,,,,,
Conductors,PU06,0,4.21,19,,,,,,,,,
Resilient Metals,PU07,Basic conductor. Heat dissapator.,4.00,20,,,,,,,,,
Reactive Gases,PU08,0,3.81,21,,,,,,,,,
Inert Gases,PU09,0,8.00,15,,,,,,,,,
Semi-Precious Metals,PU10,0,10.00,12,,,,,,,,,
Industry Grade Metals,PU11,Fusion generators.,10.91,11,,,,,,,,,
Catalytic Metals,PU12,0,7.50,16,,,,,,,,,
Earth Alkalines,PU13,0,17.78,9,,,,,,,,,
Resistive Metals,PU14,0,16.00,10,,,,,,,,,
Precious Metals,PU15,Fusion reactors. Superconductor component.,40.00,4,,,,,,,,,
Fuseable Isotopes,PU16,0,22.86,7,,,,,,,,,
Radioactives,PU17,0,40.00,4,,,,,,,,,
Cobalt,PU18,Radioactive sources. Military. Scientific.,80.00,2,,,,,,,,,
Tartarium,PU19,0,80.00,2,,,,,,,,,
Iridis,PU20,0,53.33,3,,,,,,,,,
TYPE,Mercer,0,0.00,0,,,,,,,,,
Unstable Compounds,ME01,0,2.17,23,,,,,,,,,
Construction Materials,ME02,0,2.00,25,,,,,,,,,
Bonding Agents,ME03,0,1.92,26,,,,,,,,,
Circuit Boards,ME04,0,2.00,25,,,,,,,,,
Stressless Bolts,ME05,0,3.81,21,,,,,,,,,
Precious Gems,ME06,0,4.00,20,,,,,,,,,
High Precision Motors,ME07,0,4.21,19,,,,,,,,,
Parallel Processors,ME08,0,4.21,19,,,,,,,,,
Organic Data Storage,ME09,0,8.00,15,,,,,,,,,
Volcanic Earth,ME10,0,8.57,14,,,,,,,,,
Partical Shield Projector,ME11,0,8.00,15,,,,,,,,,
Neural Networks,ME12,0,8.57,14,,,,,,,,,
Hermetic Walls,ME13,0,20.00,8,,,,,,,,,
Genetic Algorithms,ME14,0,17.78,9,,,,,,,,,
Apsum,ME15,0,22.86,7,,,,,,,,,
Ambronite,ME16,0,32.00,5,,,,,,,,,
Exotic Matter,ME17,0,160.00,1,,,,,,,,,
Bifrostite,ME18,0,160.00,1,,,,,,,,,
Helenite,ME19,0,53.33,3,,,,,,,,,
NP Hard Solutions,ME20,0,80.00,2,,,,,,,,,
TYPE,Smelter,,,,,,,,,,,,
BioPlastic,SM01,Simple iron base metals.,2.38,21,,,,,,,,,
Sulphur,SM02,Corrosion and abrasion. Solvent. Explosives.,1.85,27,,,,,,,,,
Silicates,SM03,Textiles. Antimicrobials. Nitrogenous base.,2.08,24,,,,,,,,,
Pure Water,SM04,Structural support.,2.00,25,,,,,,,,,
Memorite,SM05,Base for electronic circuits.,4.44,18,,,,,,,,,
Superlubricants,SM06,Hydrogen storage.,4.21,19,,,,,,,,,
Superconductors,SM07,Electronics.,6.67,12,,,,,,,,,
Coloured Amber,SM08,Fertilisers.,6.15,13,,,,,,,,,
Warpalloy,SM09,High strength natural magnets.,10.91,11,,,,,,,,,
Staballoy,SM10,Military and civilian blades.,8.57,14,,,,,,,,,
Ambroids,SM11,Memory retention for deformable structures.,9.23,13,,,,,,,,,
Fungal Foam,SM12,Base metal for artillery.,8.00,15,,,,,,,,,
Crystalline Organisms,SM13,Perfect light absorption.,26.67,6,,,,,,,,,
Frost Birch,SM14,Low temperature superconduting.,22.86,7,,,,,,,,,
Dark Matter,SM15,Rare amber alloy used to make warp coils.,22.86,7,,,,,,,,,
Ultradarks,SM16,Extremely strong and light material. Brittle.,20.00,8,,,,,,,,,
Impermite,SM17,Antientropic alloy. Ship construction.,160.00,1,,,,,,,,,
Tempereal Gland,SM18,"Very expensive alloy of gold, silver and amber.",160.00,1,,,,,,,,,
Transreal Alloys,SM19,Not fully understood.,80.00,2,,,,,,,,,
Lustre,SM20,Alloy with proton retaining properties.,160.00,1,,,,,,,,,
TYPE,Designer,,,,,,,,,,,,
Engine Housing,DE01,0,1.85,27,,,,,,,,,
Modular Hull,DE02,0,2.08,24,,,,,,,,,
Gyro Thrusters,DE03,0,2.17,23,,,,,,,,,
Beam Laser,DE04,0,2.00,25,,,,,,,,,
Cryo Resistant Electronics,DE05,0,3.81,21,,,,,,,,,
Ship Computer,DE06,0,4.00,20,,,,,,,,,
Percept Array,DE07,DNA synthesis. Acids. Anti bacterials.,4.00,20,,,,,,,,,
Harvesting Machinery,DE08,0,3.81,21,,,,,,,,,
Advanced Drive Shield,DE09,0,7.50,16,,,,,,,,,
Power Management,DE10,Industrial applications. Material and chemical production.,10.91,11,,,,,,,,,
Weapon Mounts,DE11,Explosives. Material production.,10.00,12,,,,,,,,,
Long Distance Comms,DE12,Jewellery.,7.50,16,,,,,,,,,
Warp Shielding,DE13,Dye. Jewellery.,17.78,9,,,,,,,,,
Crash Couches,DE14,0,17.78,9,,,,,,,,,
Intensive Scanners,DE15,0,17.78,9,,,,,,,,,
Life Support Systems,DE16,Amber infused metals. Jewellery.,17.78,9,,,,,,,,,
High Altitude Weapons,DE17,0,40.00,4,,,,,,,,,
Highly Tolerant Mechanics,DE18,0,160.00,1,,,,,,,,,
Miniaturised Components,DE19,0,53.33,3,,,,,,,,,
Ultra Long Distance Comms,DE20,Jewellery. Some minor industrial applications.,40.00,4,,,,,,,,,
TYPE,Crofter,,,,,,,,,,,,
Algae,CR01,Cheap protein source.,2.17,23,,,,,,,,,
Cereals,CR02,Cheap carbohydrate source.,2.17,23,,,,,,,,,
Legumes,CR03,Cheap fibre and vitamin source.,2.00,25,,,,,,,,,
